Stock,Status,Time,Notes,PnL,Quantity (Shares),Entry Price ($),Exit Price ($),Time of trade,Exitted Early/Late/Just nice,Stop Loss Too Tight?,Entry Signal,Waited for candle close,Grade,"Time Lasted (minutes, seconds)",Entry,Entry TF,Take profit (price),Take profit (total),Stop loss (Price),Stop loss (total),Sharpe Ratio,Day,Account,Position,EMA,Pivot,Flag,Signal Bar,Follow Through Bar (Type),Follow Through Bar Volume,Pullback,News,Setup,Stock Chart,Market Condition,Swing/Day Trade,LVL 2 Data,Swing sold time,Wick,Type,Price >1,Pre Market Gap,Opening High,Relative volume on time of trade
KITT,,"February 2, 2025",,-9.0,300.0,$1.47,$1.44,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
INOD,,"February 2, 2025",,-7.9,10.0,$64.51,$63.72,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCTM,Win,"January 31, 2025","Got lucky as i messed up placing quantity of shares but trade ended up being profitable, netting me 100. Limit order gave me a more accurate price than market order. Entered on an entry green candle on bounce off pullback which overtook the high of a green signal bar. Moderate volume",117.6,4000.0,$0.49,$0.52,9.46,,,,,A,2.0,Limit,"1m, 5m",$0.52,117.6,$0.48,32.4,3.62962962963,Fri,Cash,Long,Touches 9EMA,On Pivot,Slight pullback to 9ema,Small green with lower wick,"Mid green, Overtook high of signal bar",Above average,First pullback,No,"Pullback, Support",Trending Up,Trending Up,Day,,,,"Momentum, Support Resistance Play",Y,Y,Broke Opening High (15m),
TCTM,Win,"January 31, 2025","Market order inflated price, causing me to buy directly below high of entry candle",23.17,700.0,$0.64,$0.68,10.06,,,,,C,1.0,Market,"1m, 5m",,0.0,,0.0,,Fri,Cash,Long,Slightly above,After Pivot,Slight pullback to 9ema,medium green,Mid green,Above average,Second pullback,No,Breakout,Trending Up,Trending Up,Day,,,,"Momentum, Support Resistance Play",,Y,Broke Opening High (15m),
CYCN,Win,"January 31, 2025","Bought when entry bar candle broke out of signal bar when entry bar was a green reversal bar on the 5 min timeframe, landing right on top of 5 min 9ema. Sold when candle showed signs of weakness on resistance level due to high volume but a small and wicky candle forming after touching resistance level. Second pullback on the 1 min timeframe. Good trade",2.6,100.0,$4.12,$4.15,10.08,,,,,B,1.0,Market,"1m, 5m",,0.0,,0.0,,Fri,Cash,Long,Touches 9EMA,On Pivot,Slight pullback to 9ema,Small green with upper wick,Mid green,Above average,Second pullback,No,Pullback,Trending Up,Trending Up,Day,,,,Momentum,Y,Y,Broke Opening High (15m),
TCTM,,"January 31, 2025",Market order messed up the trade causing entry price to be higher than the high of the candle…,-8.47,700.0,$0.65,$0.64,10.25,,,,,D,0.2,Market,"1m, 5m",,0.0,,0.0,,Fri,Cash,Long,Touches 9EMA,On Pivot,Slight pullback to 9ema,Small green,Mid green,Above average,Second pullback,No,Pullback,Trending Up,Trending Up,Day,,,Small,"Momentum, Support Resistance Play",,Y,Broke Opening High (15m),
TCTM,,"January 31, 2025","Last trade of the day, fomoed in at the peak of the price movement when price was significantly extended from 9ema. Sold immediately. Candle closed as a small green candle with a large top wick",-18.2,700.0,$9.04,$9.01,10.44,,,,,D,0.1,Market,"1m, 5m",,0.0,,0.0,,Fri,Cash,Long,Extended Significantly,After Pivot,,medium green,Small green,Above average,,No,Breakout,Trending Up,Trending Up,Day,,,Large,Momentum,,Y,Broke Opening High (15m),
SLXN,,"January 29, 2025","Extremely choppy market, getting me stopped out, and i did not wait for green candle after pullback. Poor risk management

Bought into fomo and did not wait for pullback to fully form",-50.0,500.0,$2.30,$2.20,9.31,,,,,D,1.0,Market,1m,,0.0,,0.0,,Wed,Cash,Long,Slightly above,Before Pivot,Tight flag,,Small green,Above average,First pullback,Yes,Breakout,Trending Up,Trending Down,Day,,,Large,Momentum,Y,Y,,
OCEA,,"January 29, 2025",Chopped out by GIANT red candle that crashed down. Stop losses are important!,-16.45,500.0,$0.63,$0.59,8.44,,,,,B,1.0,Market,1m,,0.0,,0.0,,Wed,Cash,Long,Slightly above,On Pivot,Tight flag,,Mid green,Average,First pullback,Yes,Breakout,Trending Up,Trending Down,Day,,,Medium,Momentum,Y,Y,Broke Opening High (15m),
SLXN,Win,"January 29, 2025",Bought the opening green candle of the open,35.0,500.0,$2.23,$2.30,9.3,,,,,C,1.0,Market,1m,,0.0,,0.0,,Wed,Cash,Long,Slightly above,Before Pivot,Tight flag,,Small green,Above average,First pullback,Yes,Breakout,Trending Up,Trending Down,Day,,,Large,Momentum,Y,Y,,
HEPA,Win,"January 28, 2025","1. Bought on pullback perfectly to 9EMA
2. Sold too early, missing out on profits
3. Position size too small. Eventhough it was a win, net gain was only a few cents",1.68,300.0,$0.24,$0.25,,,,,,D,0.4,Market,1m,,0.0,,0.0,,Tues,Cash,Long,Slightly above,,,,,,,Yes,Breakout,Trending Up,Trending Up,Day,"Poorly executed, made trading performance worse",,Medium,Momentum,,,,
BLBX,,"January 28, 2025","1. Going long below 9EMA was a massive mistake as stock did not pullback above to touch 9EMA, indicating that stock was in a downtrend.
2. Low green volume pullback to 9EMA",-21.3,100.0,$4.58,$4.37,,,,,,D,1.0,Market,1m,,0.0,,0.0,,Tues,Cash,Long,Below 20 EMA,,,,,,,Yes,Breakout,Trending Up,Trending Up,Day,"Poorly executed, made trading performance worse",,Large,Momentum,Y,,Broke Opening High (15m),
UAVZ,,"January 28, 2025","1. Again, bought when stock was extended away from 9EMA. 
2. Pullback did not fully materialize
3. Overreliance on lvl 2 data for break of the ‘high’",-15.0,200.0,$2.70,$2.63,,,,,,D,1.0,Market,1m,,0.0,,0.0,,Tues,Cash,Long,Extended Significantly,,,,,,,Yes,Breakout,Trending Up,Trending Up,Day,"Poorly executed, made trading performance worse",,Small,Momentum,Y,,Broke Opening High (15m),
RNAZ,,"January 28, 2025","Mistakes: 
1. Bought on high of the wick and did not wait for pullback to fully form.
2. overreliance on lvl 2 data when performance of lvl 2 data was not fully backtested
3. Candle was extended 5% above 9EMA, indicating that pullback has not fully materialized
4. Trade idea was right but entry was bad as this wouldve resulted in extremely high risk.",-72.0,200.0,$10.62,$10.26,,,,,,D,1.0,Market,1m,,0.0,,0.0,,Tues,Cash,Long,Extended Significantly,,,,,,,Yes,Breakout,Trending Up,Trending Down,Day,"Poorly executed, made trading performance worse",,Medium,Momentum,Y,,Broke Opening High (15m),
BAO,,"December 24, 2024",,0.0,,,,,,,,,,0.2,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,Y,,Broke Opening High (15m),
BAO,Win,"December 24, 2024",Sold early. Did not wait for price to pivot down,12.32,112.0,$4.86,$4.97,,,,,,B,0.15,Market,1m,,0.0,,0.0,,Tues,Paper,Long,Slightly above,After Pivot,Slight pullback to 9ema,,Large green,Above average,,Yes,Pullback,Trending Up,Trending Up,Day,,,Small,Momentum,Y,,Broke Opening High (15m),
TAOP,,"December 20, 2024",,-66.0,600.0,$0.78,$0.67,,,,,,C,0.3,Limit,1m,,0.0,,0.0,,Fri,Paper,Long,Slightly above,After Pivot,Strong pullback from significantly extended to 9ema,,Large green,Below average,,No,Pullback,Ranging,,Day,,,Small,Momentum,Y,,Broke Opening High (15m),
PRFX,Win,"December 19, 2024",Rebought when price flagged with low volume,16.0,50.0,$11.91,$12.23,,,,,,B,,Limit,1m,,0.0,,0.0,,Thurs,Paper,Long,Slightly above,,,,,,,No,Breakout,Trending Up,Trending Down,Day,,,,Momentum,,,,
PRFX,Win,"December 19, 2024","Bought large green body candle with high volume in the middle, riding momentum up. sold at the top of the candle but did not wait for red candle to form as i panicked, not letting runners run up. Did not hit any mental stops as it did not trend down below the 9 ema.",39.6,60.0,$10.72,$11.38,,,,,,B,,Limit,1m,,0.0,,0.0,,Thurs,Paper,Long,Slightly above,,,,,,,No,Breakout,Trending Up,Trending Down,Day,,,,Momentum,Y,,Broke Opening High (15m),
PRFX,Win,"December 19, 2024","Bought micro pullback post gap up but held for too short, missing out potential gains. Stock did not show any signs of dropping either as it maintained a tight bull flag",15.3,90.0,$6.41,$6.58,,,,,,A,,Limit,1m,,0.0,,0.0,,Thurs,Paper,Long,Slightly above,After Pivot,Tight flag,,Mid green,Above average,First pullback,No,Breakout,Trending Up,Trending Down,Day,,,,Momentum,Y,,Broke Opening High (15m),
CGTX,,"December 18, 2024",Bought when price spiked up to previous resistance line,-85.0,500.0,$1.27,$1.10,,,,,,C,2.0,Limit,1m,,0.0,,0.0,,Wed,Paper,Long,Extended Significantly,After Pivot,Slight pullback to 9ema,,,Above average,,,Pullback,Ranging,,Day,,,,Momentum,,,,
PLRZ,Win,"December 18, 2024",Late Entry and sold off at the wick of high. Couldve improved,165.6,200.0,$3.96,$4.79,,,,,,C,,Limit,1m,,0.0,,0.0,,Wed,Paper,Long,Extended Significantly,,,,,,,Yes,Breakout,Trending Up,Trending Down,Day,,,Large,Momentum,,,,
WKEY,Win,"December 16, 2024","Poor entry as I entered before it formed a new low. Did not enter on breakout of high of low.

Couldve been A tier if i waited for price to pullback to 9 EMA",55.6,40.0,$10.13,$11.52,,,,,,C,15.0,Limit,1m,,0.0,,0.0,,Mon,Paper,Long,Slightly above,,,,,,,Yes,Breakout,Trending Up,Trending Up,Day,,,Small,Momentum,,,,
AVGO,Win,"December 13, 2024",EP breakout on earnings report,69.18,3.0,$215.55,$238.61,,,,,,A,,Limit,1m,,0.0,,0.0,,Fri,Paper,Long,Slightly above,Before Pivot,Slight pullback to 9ema,,Mid red,Average,First pullback,Yes,Breakout,Trending Up,Trending Up,Day to Swing,,"December 16, 2024",,Momentum,,,,
LICN,Win,"December 12, 2024","Entered when stock overtook the high of the lowest bar in the fractal. Stock formed a higher low, indicating bullish strength

Broke above 9 EMA",35.9,1000.0,$0.38,$0.41,,,,,,A,5.0,Limit,1m,,0.0,,0.0,,Thurs,Paper,Long,Slightly above,On Pivot,Price crossed 9 EMA,,Mid green,Average,Third pullback,Yes,Breakout,Trending Up,Trending Down,Day,,,Large,Momentum,,,,
LICN,Win,"December 12, 2024",Bought at breakout of the high of pullback. Sold too early as i shouldve waited for it to at least hit a resistance level,25.0,1000.0,$0.37,$0.39,,,,,,A,5.0,Limit,1m,,0.0,,0.0,,Thurs,Paper,Long,Slightly above,After Pivot,Slight pullback to 9ema,,Large green,Above average,First pullback,Yes,Breakout,Trending Up,Trending Up,Day,,,Large,Momentum,,,,
RGTI,Win,"December 10, 2024",Bought pullback and rode EMA,25.5,75.0,$5.23,$5.57,,,,,,A,19.0,Limit,1m,,0.0,,0.0,,Tues,Paper,Long,,,,,,,,Yes,Breakout,Trending Up,Trending Down,Day,,,Small,Momentum,,,,
RGTI,Win,"December 10, 2024","Bought pullback to 9EMA

Bought on hammer candle",29.0,100.0,$4.91,$5.20,,,,,,A,11.0,Limit,1m,,0.0,,0.0,,Tues,Paper,Long,Touches 9EMA,On Pivot,Slight pullback to 9ema,,Small green,Below average,First pullback,Yes,Breakout,Trending Up,Trending Down,Day,,,Small,Momentum,,,,
LDTC,,"December 9, 2024","Price gapped up, halted, and formed a red candle down",-81.0,300.0,$1.74,$1.47,,,,,,B,5.0,Limit,1m,,0.0,,0.0,,Mon,Paper,Long,Extended Significantly,Before Pivot,Gapped below 9 and 20 EMA,,Large red,Significantly above average,,,Pullback,Ranging,,,,,Small,Momentum,,,,
CHRS,Win,"December 3, 2024",,0.0,,,,,,,,,C,14.0,Limit,,,0.0,,0.0,,,,,Extended Significantly,After Pivot,Price crossed 9 EMA,,Large green,Above average,,Yes,,,,,,,,Momentum,,,,
CTOR,,"December 3, 2024",Late entry and hard stop resulted in  small loss,-12.0,150.0,$1.91,$1.83,,,,,,,,Limit,1m,,0.0,,0.0,,Tues,Paper,Long,,,,,,,,,Breakout,Trending Up,Trending Down,Day,,,,Momentum,,,,
SNTI,Win,"December 2, 2024","Bought post initial breakout rather than pullback. Risky, but allowed me to reap most gains from the movement",21.44,8.0,$8.82,$11.50,,,,,,,,Limit,1m,,0.0,,0.0,,Mon,Paper,Long,,,,,Mid green,Above average,,,Breakout,Trending Up,Trending Down,Day,,,,Momentum,,,,
AUB,Win,"October 19, 2024",Breakout gap up post donald trump elections,127.98,18.0,$36.44,$43.55,10.13,,,,,,2.0,Limit,1D,,0.0,,0.0,,Tues,Paper,Long,Slightly above,After Pivot,Slight pullback to 9ema,,,,,,Breakout,Trending Up,Trending Down,Swing,,,,Momentum,Y,Y,,
